UTIL;ABBSASS;ABBSASS_count;ANALYZABLE_rate;ASSBLOCKS;ASSBLOCKS_count;ASSEXPLORED;ASSSOLUTIONSPACE;PNS;SCHEDULABLE_rate;SCHEDULABLE_rate_stderr;UTIL
 2.2;33.6657789613848;1502;1;13.7576564580559;1502;506.924101198402;80308382667997.7;4;0.912117177097204;0.00730537224304658; 2.2 
 2.4;33.5728813559322;1475;1;13.7091525423729;1475;590.48406779661;81240316513467;4;0.869830508474576;0.00876144849108815; 2.4 
 2.6;33.5233380480905;1414;1;13.6704384724187;1414;1439.07213578501;84372937398616;4;0.80975954738331;0.0104376990128276; 2.6 
 2.8;33.6298507462687;1340;1;13.7388059701493;1340;2001.87462686567;89071320008073;4;0.741791044776119;0.0119556734382778; 2.8 
 3.0;33.5023622047244;1270;1;13.6677165354331;1270;4079.69133858268;100072006043001;4;0.670866141732283;0.0131856746894261; 3.0 
 3.2;33.441615452151;1139;1;13.6988586479368;1139;5222.17734855136;111618861974409;4;0.56540825285338;0.0146879081161215; 3.2 
 3.4;32.5848880597015;1072;1;13.3078358208955;1072;7422.61567164179;115120706991733;4;0.435634328358209;0.0151441167679421; 3.4 
 3.6;31.9557428872497;949;1;13.0621707060063;949;8918.96733403583;305537132883940;4;0.270811380400422;0.014425148418572; 3.6 
