UTIL;ABBSASS;ABBSASS_count;ANALYZABLE_rate;ASSBLOCKS;ASSBLOCKS_count;ASSEXPLORED;ASSSOLUTIONSPACE;PNS;SCHEDULABLE_rate;SCHEDULABLE_rate_stderr;UTIL
 2.2;33.2656934306569;1370;1;33.2656934306569;1370;7888.2102189781;1.70391378096179e+38;4;0.954744525547445;0.00561589353600639; 2.2 
 2.4;33.2773613193403;1334;1;33.2773613193403;1334;5965.12443778111;1.7494646785378e+38;4;0.938530734632684;0.0065762050493019; 2.4 
 2.6;33.2394924662966;1261;1;33.2394924662966;1261;7389.3354480571;1.85074744177122e+38;4;0.909595559080095;0.00807535279386186; 2.6 
 2.8;33.4659270998415;1262;1;33.4659270998415;1262;9146.2852614897;1.84975841121295e+38;4;0.868462757527734;0.00951415645190524; 2.8 
 3.0;33.3017602682313;1193;1;33.3017602682313;1193;10457.1500419111;1.95648176496422e+38;4;0.834870075440067;0.0107498428836942; 3.0 
 3.2;33.3197093551317;1101;1;33.3197093551317;1101;14096.2325158946;8.76779428310271e+35;4;0.811080835603996;0.0117971314467677; 3.2 
 3.4;32.7872340425532;1034;1;32.7872340425532;1034;13605.0444874275;2.2471686987291e+38;4;0.773694390715667;0.013012840723127; 3.4 
 3.6;32.6364665911665;883;1;32.6364665911665;883;15188.4031710079;2.64111671772166e+38;4;0.699886749716874;0.0154232578447434; 3.6 
